host_ID,host_species,village,grid,season,total_reads,asv_ID,reads,asv_degree,asv_group,host_group
2496,Rattus rattus,Mandena,agroforest,2,21086,ASV_2,0.21227354642891016,157,1,1
2501,Rattus rattus,Mandena,brushy_regrowth,3,8306,ASV_2,0.04394413676860101,157,1,1
2502,Rattus rattus,Mandena,brushy_regrowth,3,13961,ASV_2,0.02027075424396533,157,1,54
2504,Rattus rattus,Mandena,brushy_regrowth,3,9988,ASV_2,0.06748097717260713,157,1,55
2508,Rattus rattus,Mandena,brushy_regrowth,3,7997,ASV_2,0.0343878954607978,157,1,43
2509,Rattus rattus,Mandena,brushy_regrowth,3,7327,ASV_2,0.0323461171011328,157,1,1
2511,Rattus rattus,Mandena,brushy_regrowth,3,11700,ASV_2,0.04854700854700854,157,1,32
2513,Rattus rattus,Mandena,brushy_regrowth,3,15145,ASV_2,0.0583030703202377,157,1,1
2515,Rattus rattus,Mandena,brushy_regrowth,3,10130,ASV_2,0.2765054294175715,157,1,11
2517,Rattus rattus,Mandena,brushy_regrowth,3,7176,ASV_2,0.1690356744704571,157,1,5
2523,Rattus rattus,Mandena,brushy_regrowth,3,13711,ASV_2,0.04981401794179856,157,1,1
2526,Rattus rattus,Mandena,brushy_regrowth,3,14528,ASV_2,0.01920429515418502,157,1,61
2527,Rattus rattus,Mandena,brushy_regrowth,3,7880,ASV_2,0.04048223350253807,157,1,2
2536,Rattus rattus,Mandena,brushy_regrowth,3,12021,ASV_2,0.0717078446052741,157,1,18
2537,Rattus rattus,Mandena,brushy_regrowth,3,12136,ASV_2,0.06855636123928807,157,1,27
2538,Rattus rattus,Mandena,brushy_regrowth,3,14284,ASV_2,0.01666199943993279,157,1,1
2539,Rattus rattus,Mandena,brushy_regrowth,3,9092,ASV_2,0.04795424549054113,157,1,44
2540,Rattus rattus,Mandena,brushy_regrowth,3,13473,ASV_2,0.06331180880279076,157,1,1
2541,Rattus rattus,Mandena,brushy_regrowth,3,9677,ASV_2,0.10571458096517516,157,1,72
2549,Rattus rattus,Mandena,agriculture,3,15785,ASV_2,0.26366803927779536,157,1,1
2550,Rattus rattus,Mandena,agriculture,3,17674,ASV_2,0.21483535136358492,157,1,10
2552,Rattus rattus,Mandena,agriculture,3,18869,ASV_2,0.05527584927659123,157,1,1
2553,Rattus rattus,Mandena,agriculture,3,9983,ASV_2,0.03866573174396474,157,1,1
2554,Rattus rattus,Mandena,agriculture,3,19441,ASV_2,0.03564631448999537,157,1,1
2565,Rattus rattus,Mandena,agriculture,3,16127,ASV_2,0.02027655484591058,157,1,1
2566,Rattus rattus,Mandena,agriculture,3,14153,ASV_2,0.0647212605101392,157,1,1
2567,Rattus rattus,Mandena,agriculture,3,15231,ASV_2,0.02481780579082135,157,1,16
2569,Rattus rattus,Mandena,agriculture,3,11816,ASV_2,0.12186865267433988,157,1,49
2571,Rattus rattus,Mandena,agriculture,3,13222,ASV_2,0.01830282861896838,157,1,1
